"Team-O-Matic","Drużynorób"
"Kicks butt","Kopie tyłek"
"Settings","Ustawienia"
"Fill the form so we can create teams.","Wypełnij formularz aby umożliwić stworzenie drużyn."
"Players","Zawodnicy"
"Go!","Jazda!"
"Teams","Drużyny"
"Teams list will be (or is) here.","Tu będzie (lub jest) lista drużyn."
"No teams (yet)","Brak drużyn (jeszcze)"
"The form is invalid.","Formularz nie został poprawnie wypełniony."
"Application error has occurred. Please try again later.","Wystąpił błąd aplikacji. Proszę spróbować później."
